review_text,rating,date,bank_name,source,sentiment_label,sentiment_score
it's not working,3,2025-06-05,Bank of Abyssinia,Google Play,NEGATIVE,0.9997857213020325
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,Google Play,NEGATIVE,0.9994151592254639
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play,POSITIVE,0.9998514652252197
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play,POSITIVE,0.9984728693962097
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9934743046760559
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9971383810043335
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9980142116546631
very nice Abyssinia bank is choice all,5,2025-05-31,Bank of Abyssinia,Google Play,POSITIVE,0.9995830655097961
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,Google Play,NEGATIVE,0.9998049139976501
Good service.,3,2025-05-25,Bank of Abyssinia,Google Play,POSITIVE,0.9998533725738525
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play,NEGATIVE,0.998525083065033
good,5,2025-05-22,Bank of Abyssinia,Google Play,POSITIVE,0.9998161196708679
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play,NEGATIVE,0.9997075200080872
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,Google Play,NEGATIVE,0.9990266561508179
BoA,2,2025-05-20,Bank of Abyssinia,Google Play,NEGATIVE,0.7410542368888855
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9952228665351868
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play,NEGATIVE,0.9997984766960144
amazing,5,2025-05-18,Bank of Abyssinia,Google Play,POSITIVE,0.999875545501709
excellent app,4,2025-05-16,Bank of Abyssinia,Google Play,POSITIVE,0.9998356103897095
excellent,5,2025-05-15,Bank of Abyssinia,Google Play,POSITIVE,0.9998434782028198
ሞላዬ ከበደ,5,2025-05-14,Bank of Abyssinia,Google Play,NEGATIVE,0.7850590348243713
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play,NEGATIVE,0.9992283582687378
nice,5,2025-05-10,Bank of Abyssinia,Google Play,POSITIVE,0.9998552799224854
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play,NEGATIVE,0.9994921684265137
Best app,5,2025-05-09,Bank of Abyssinia,Google Play,POSITIVE,0.999686598777771
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,Google Play,POSITIVE,0.9996829032897949
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,Google Play,NEGATIVE,0.9989790916442871
wow,5,2025-04-28,Bank of Abyssinia,Google Play,POSITIVE,0.999592125415802
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,POSITIVE,0.9998701810836792
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,Google Play,NEGATIVE,0.9995198249816895
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,Google Play,NEGATIVE,0.9997255206108093
Best,2,2025-04-19,Bank of Abyssinia,Google Play,POSITIVE,0.9997941851615906
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9996699094772339
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,NEGATIVE,0.7675821781158447
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia,Google Play,NEGATIVE,0.7850590348243713
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,POSITIVE,0.9992689490318298
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,NEGATIVE,0.980626106262207
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,POSITIVE,0.9722142815589905
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,NEGATIVE,0.9996716976165771
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play,NEGATIVE,0.999774158000946
like,5,2025-04-06,Bank of Abyssinia,Google Play,POSITIVE,0.9910564422607422
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play,NEGATIVE,0.9998013377189636
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play,POSITIVE,0.9575353264808655
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play,NEGATIVE,0.5856854915618896
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,Google Play,NEGATIVE,0.9693678617477417
very good,5,2025-04-03,Bank of Abyssinia,Google Play,POSITIVE,0.9998520612716675
thank you,5,2025-04-02,Bank of Abyssinia,Google Play,POSITIVE,0.9998352527618408
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9990907907485962
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,NEGATIVE,0.9973751306533813
good application,5,2025-03-30,Bank of Abyssinia,Google Play,POSITIVE,0.999854564666748
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play,NEGATIVE,0.9995684027671814
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,NEGATIVE,0.9996182918548584
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play,NEGATIVE,0.9995555281639099
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play,NEGATIVE,0.9997418522834778
best app,5,2025-03-25,Bank of Abyssinia,Google Play,POSITIVE,0.999686598777771
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play,NEGATIVE,0.9998050332069397
great BoA,5,2025-03-22,Bank of Abyssinia,Google Play,POSITIVE,0.9992689490318298
best,5,2025-03-21,Bank of Abyssinia,Google Play,POSITIVE,0.9997941851615906
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,NEGATIVE,0.9988333582878113
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9994422793388367
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9993981122970581
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play,POSITIVE,0.9998772144317627
all worck,5,2025-03-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9971314668655396
